epoch,train_loss,val_dice,val_iou
1,1.6231,0.3587,0.2421
2,1.5577,0.4082,0.2810
3,1.4602,0.3242,0.2123
4,1.4408,0.3541,0.2387
5,1.3748,0.3705,0.2470
6,1.3598,0.3806,0.2607
7,1.2591,0.3704,0.2477
8,1.2017,0.3807,0.2580
9,1.2085,0.4142,0.2883
10,1.2363,0.3745,0.2569
11,1.1987,0.3640,0.2467
12,1.1779,0.3142,0.2090
13,1.1463,0.3538,0.2432
14,1.1099,0.3452,0.2350
15,1.1128,0.3729,0.2551
16,1.1154,0.3601,0.2425
17,1.0972,0.3984,0.2741
18,1.0275,0.3620,0.2412
19,1.0382,0.2595,0.1653
20,0.9942,0.3238,0.2144
21,1.0087,0.3632,0.2386
22,0.9575,0.3962,0.2622
23,0.9622,0.3801,0.2480
24,0.9445,0.4292,0.2950
25,0.9646,0.4406,0.3016
26,0.9445,0.3625,0.2389
27,0.9321,0.3855,0.2550
28,0.9181,0.3992,0.2702
29,0.9227,0.3970,0.2648
30,0.8635,0.4230,0.2848
31,0.8527,0.3782,0.2536
32,0.8711,0.3757,0.2496
33,0.8434,0.3928,0.2653
34,0.8470,0.3887,0.2601
35,0.8782,0.4151,0.2835
36,0.8562,0.3892,0.2626
37,0.8232,0.3613,0.2445
38,0.8051,0.3719,0.2569
39,0.7828,0.3631,0.2447
40,0.7665,0.3858,0.2599
41,0.7582,0.3426,0.2281
42,0.7700,0.3529,0.2363
43,0.7838,0.3623,0.2386
44,0.7496,0.3747,0.2465
45,0.7475,0.4040,0.2711
46,0.7404,0.4061,0.2733
47,0.7602,0.3866,0.2562
48,0.7426,0.3975,0.2634
49,0.6963,0.3912,0.2645
50,0.7165,0.4208,0.2891
51,0.7336,0.4020,0.2734
52,0.6798,0.3970,0.2712
53,0.6952,0.4036,0.2705
54,0.7065,0.3949,0.2621
55,0.6923,0.4072,0.2752
56,0.6783,0.3973,0.2660
57,0.6777,0.3828,0.2533
58,0.6987,0.3901,0.2584
59,0.6611,0.3994,0.2670
60,0.6547,0.3886,0.2569
61,0.6409,0.3784,0.2487
62,0.6608,0.3797,0.2492
63,0.6601,0.3741,0.2430
64,0.6537,0.3707,0.2384
65,0.6419,0.3737,0.2397
66,0.6511,0.3694,0.2389
67,0.6341,0.3744,0.2431
68,0.6663,0.3871,0.2543
69,0.6321,0.3901,0.2558
70,0.6196,0.3948,0.2578
71,0.6385,0.3798,0.2459
72,0.6352,0.3715,0.2392
73,0.6198,0.3819,0.2484
74,0.6155,0.3855,0.2518
